city_name,month_name,actual_trip,target_trips,percent_difference,performance_status
Chandigarh,April,5566,6000,-7.23,"Below Target"
Chandigarh,February,7387,7000,5.53,"Above Target"
Chandigarh,January,6810,7000,-2.71,"Below Target"
Chandigarh,June,6029,6000,0.48,"Above Target"
Chandigarh,March,6569,7000,-6.16,"Below Target"
Chandigarh,May,6620,6000,10.33,"Above Target"
Coimbatore,April,3661,3500,4.60,"Above Target"
Coimbatore,February,3404,3500,-2.74,"Below Target"
Coimbatore,January,3651,3500,4.31,"Above Target"
Coimbatore,June,3158,3500,-9.77,"Below Target"
Coimbatore,March,3680,3500,5.14,"Above Target"
Coimbatore,May,3550,3500,1.43,"Above Target"
Indore,April,7415,7500,-1.13,"Below Target"
Indore,February,7210,7000,3.00,"Above Target"
Indore,January,6737,7000,-3.76,"Below Target"
Indore,June,6288,7500,-16.16,"Below Target"
Indore,March,7019,7000,0.27,"Above Target"
Indore,May,7787,7500,3.83,"Above Target"
Jaipur,April,11406,9500,20.06,"Above Target"
Jaipur,February,15872,13000,22.09,"Above Target"
Jaipur,January,14976,13000,15.20,"Above Target"
Jaipur,June,9842,9500,3.60,"Above Target"
Jaipur,March,13317,13000,2.44,"Above Target"
Jaipur,May,11475,9500,20.79,"Above Target"
Kochi,April,9762,9000,8.47,"Above Target"
Kochi,February,7688,7500,2.51,"Above Target"
Kochi,January,7344,7500,-2.08,"Below Target"
Kochi,June,6399,9000,-28.90,"Below Target"
Kochi,March,9495,7500,26.60,"Above Target"
Kochi,May,10014,9000,11.27,"Above Target"
Lucknow,April,10212,11000,-7.16,"Below Target"
Lucknow,February,12060,13000,-7.23,"Below Target"
Lucknow,January,10858,13000,-16.48,"Below Target"
Lucknow,June,10240,11000,-6.91,"Below Target"
Lucknow,March,11224,13000,-13.66,"Below Target"
Lucknow,May,9705,11000,-11.77,"Below Target"
Mysore,April,2603,2500,4.12,"Above Target"
Mysore,February,2668,2000,33.40,"Above Target"
Mysore,January,2485,2000,24.25,"Above Target"
Mysore,June,2842,2500,13.68,"Above Target"
Mysore,March,2633,2000,31.65,"Above Target"
Mysore,May,3007,2500,20.28,"Above Target"
Surat,April,9831,10000,-1.69,"Below Target"
Surat,February,9069,9000,0.77,"Above Target"
Surat,January,8358,9000,-7.13,"Below Target"
Surat,June,8544,10000,-14.56,"Below Target"
Surat,March,9267,9000,2.97,"Above Target"
Surat,May,9774,10000,-2.26,"Below Target"
Vadodara,April,5941,6500,-8.60,"Below Target"
Vadodara,February,5228,6000,-12.87,"Below Target"
Vadodara,January,4775,6000,-20.42,"Below Target"
Vadodara,June,4685,6500,-27.92,"Below Target"
Vadodara,March,5598,6000,-6.70,"Below Target"
Vadodara,May,5799,6500,-10.78,"Below Target"
Visakhapatnam,April,4938,5000,-1.24,"Below Target"
Visakhapatnam,February,4793,4500,6.51,"Above Target"
Visakhapatnam,January,4468,4500,-0.71,"Below Target"
Visakhapatnam,June,4478,5000,-10.44,"Below Target"
Visakhapatnam,March,4877,4500,8.38,"Above Target"
Visakhapatnam,May,4812,5000,-3.76,"Below Target"
